date,births,deaths,proportion
1847-06-01,268,6,2.24
1847-07-01,250,3,1.2
1847-08-01,264,5,1.89
1847-09-01,262,12,4.58
1847-10-01,278,11,3.96
1847-11-01,246,11,4.47
1847-12-01,273,8,2.93
1848-01-01,283,10,3.53
1848-02-01,291,2,0.69
1848-03-01,276,0,0.0
1848-04-01,305,2,0.66
1848-05-01,313,3,0.96
1848-06-01,264,3,1.14
1848-07-01,269,1,0.37
1848-08-01,261,0,0.0
1848-09-01,312,3,0.96
1848-10-01,299,7,2.34
1848-11-01,310,9,2.9
1848-12-01,373,5,1.34
1849-01-01,403,9,2.23
1849-02-01,389,12,3.08
1849-03-01,406,20,4.93
